OBJECTID,electricity
0,8
1,27
2,7
3,9
4,7
5,7
6,8
7,6
8,7
9,6
10,9
11,9
12,16
13,8
14,7
15,7
16,26
17,7
18,6
19,6
20,6
21,6
22,6
23,13
24,6
25,17
26,13
27,29
28,29
29,14
30,10
31,54
32,16
33,18
34,18
35,13
36,14
37,14
38,16
39,6
40,8
41,7
42,7
43,7
44,5
45,9
46,7
47,24
48,6
49,24
50,6
51,30
52,4
53,5
54,7
55,6
56,13
57,30
58,17
59,43
60,13
61,16
62,81
63,84
64,85
65,87
66,85
67,8
68,9
69,4
70,10
71,6
72,25
73,8
74,5
75,10
76,10
77,9
78,8
79,8
80,6
81,9
82,29
83,11
84,6
85,11
86,27
87,11
88,10
89,11
90,18
91,6
92,4
93,8
94,21
95,9
96,5
97,7
98,4
99,2
100,1
101,3
102,4
103,3
104,5
105,2
106,8
107,6
108,0
109,7
110,36
111,8
112,5
113,14
114,9
115,8
116,5
117,6
118,4
119,7
120,20
121,6
122,12
123,6
124,10
125,6
126,4
127,4
128,43
129,7
130,46
131,15
132,2
133,2
134,5
135,2
136,6
137,3
138,11
139,8
140,9
141,19
142,15
143,50
144,16
145,12
146,12
147,12
148,15
149,8
150,17
151,13
152,12
153,27
154,16
155,13
156,12
157,13
158,12
159,10
160,15
161,43
162,25
163,28
164,17
165,17
166,14
167,27
168,39
169,13
170,24
171,8
172,14
173,15
174,13
175,12
176,12
177,13
178,14
179,10
180,23
181,12
182,12
183,9
184,40
185,11
186,9
187,5
188,6
189,4
190,6
191,3
192,4
193,3
194,12
195,5
196,6
197,11
198,13
199,10
200,11
201,17
202,16
203,13
204,13
205,29
206,23
207,13
208,21
209,11
210,25
211,15
212,8
213,11
214,28
215,8
216,31
217,10
218,19
219,42
220,4
221,6
222,7
223,3
224,4
225,4
226,5
227,11
228,5
229,6
230,4
231,3
232,4
233,16
234,21
235,4
236,9
237,3
238,3
239,4
240,3
241,23
242,2
243,4
244,11
245,0
246,5
247,2
248,6
249,4
250,4
251,20
252,5
253,8
254,6
255,2
256,6
257,4
258,7
259,6
260,6
261,2
262,3
263,4
264,10
265,7
266,14
267,12
268,20
269,14
270,12
271,10
272,5
273,17
274,11
275,9
276,13
277,11
278,21
279,9
280,6
281,14
282,13
283,5
284,16
285,8
286,8
287,20
288,32
289,11
290,10
291,8
292,11
293,9
294,12
295,7
296,4
297,2
298,3
299,2
300,8
301,2
302,6
303,5
304,13
305,4
306,5
307,5
308,5
309,12
310,7
311,6
312,43
313,42
314,14
315,36
316,6
317,6
318,6
319,7
320,20
321,6
322,7
323,15
324,15
325,11
326,14
327,16
328,50
329,22
330,55
331,18
332,31
333,22
334,73
335,13
336,10
337,25
338,22
339,13
340,28
341,13
342,12
343,8
344,10
345,9
346,64
347,11
348,17
349,4
350,3
351,2
352,4
353,2
354,3
355,1
356,2
357,5
358,10
359,3
360,4
361,7
362,9
363,5
364,2
365,4
366,8
367,3
368,7
369,3
370,15
371,2
372,10
373,4
374,1
375,4
376,2
377,2
378,4
379,13
380,8
381,6
382,6
383,5
384,10
385,8
386,8
387,5
388,7
389,9
390,36
391,8
392,22
393,3
394,9
395,7
396,27
397,7
398,15
399,15
400,6
401,15
402,16
403,19
404,16
405,5
406,40
407,41
408,4
409,4
410,6
411,4
412,3
413,8
414,8
415,4
416,5
417,4
418,41
419,4
420,5
421,4
422,15
423,7
424,4
425,6
426,3
427,4
428,17
429,24
430,21
431,16
432,26
433,11
434,7
435,7
436,7
437,7
438,6
439,7
440,7
441,6
442,6
443,6
444,9
445,17
446,3
447,7
448,6
449,6
450,5
451,10
452,10
453,7
454,5
455,5
456,6
457,13
458,20
459,12
460,14
461,12
462,4
463,3
464,8
465,7
466,5
467,6
468,4
469,7
470,4
471,4
472,6
473,6
474,41
475,27
476,34
477,34
478,10
479,11
480,14
481,13
482,10
483,20
484,30
485,9
486,60
487,12
488,13
489,8
490,24
491,31
492,12
493,41
494,22
495,7
496,18
497,9
498,9
499,6
500,13
501,9
502,7
503,13
504,6
505,11
506,4
507,10
508,21
509,11
510,9
511,4
512,5
513,7
514,59
515,48
516,22
517,7
518,19
519,18
520,8
521,10
522,6
523,6
524,5
525,12
526,11
527,13
528,14
529,8
530,12
531,35
532,14
533,7
534,9
535,18
536,10
537,11
538,15
539,10
540,64
541,12
542,37
543,37
544,80
545,13
546,8
547,10
548,34
549,41
550,2
551,12
552,2
553,1
554,2
555,2
556,2
557,1
558,2
559,2
560,1
561,3
562,4
563,2
564,68
565,7
566,4
567,11
568,6
569,6
570,5
571,11
572,6
573,24
574,7
575,6
576,6
577,4
578,7
579,52
580,44
581,7
582,6
583,5
584,6
585,5
586,4
587,8
588,7
589,17
590,20
591,9
592,7
593,26
594,63
