OBJECTID,roofpermanent
0,95
1,98
2,88
3,98
4,75
5,91
6,98
7,68
8,95
9,93
10,97
11,96
12,96
13,11
14,9
15,9
16,39
17,11
18,12
19,27
20,36
21,24
22,28
23,31
24,34
25,91
26,97
27,100
28,99
29,53
30,37
31,99
32,73
33,88
34,75
35,54
36,46
37,74
38,96
39,67
40,73
41,85
42,91
43,59
44,78
45,85
46,69
47,98
48,87
49,92
50,56
51,95
52,52
53,61
54,80
55,68
56,98
57,99
58,97
59,99
60,89
61,97
62,100
63,99
64,99
65,100
66,100
67,87
68,79
69,82
70,82
71,84
72,94
73,92
74,79
75,95
76,89
77,88
78,91
79,82
80,77
81,90
82,95
83,87
84,85
85,96
86,100
87,98
88,93
89,97
90,96
91,95
92,94
93,97
94,98
95,95
96,98
97,82
98,82
99,84
100,82
101,79
102,93
103,59
104,76
105,66
106,83
107,89
108,0
109,96
110,96
111,96
112,85
113,93
114,97
115,94
116,58
117,90
118,91
119,81
120,99
121,94
122,87
123,95
124,87
125,96
126,92
127,94
128,99
129,96
130,98
131,50
132,7
133,9
134,10
135,8
136,14
137,9
138,67
139,50
140,82
141,98
142,94
143,99
144,96
145,72
146,84
147,81
148,85
149,78
150,90
151,83
152,69
153,95
154,92
155,83
156,75
157,83
158,86
159,72
160,77
161,98
162,88
163,92
164,86
165,76
166,81
167,92
168,96
169,88
170,95
171,76
172,90
173,80
174,89
175,81
176,82
177,91
178,88
179,87
180,98
181,59
182,78
183,90
184,99
185,83
186,90
187,74
188,68
189,78
190,72
191,66
192,44
193,67
194,77
195,71
196,61
197,84
198,74
199,87
200,95
201,92
202,83
203,73
204,92
205,80
206,74
207,84
208,73
209,83
210,85
211,61
212,95
213,86
214,80
215,32
216,76
217,43
218,54
219,100
220,95
221,99
222,99
223,100
224,99
225,99
226,98
227,99
228,100
229,99
230,99
231,100
232,98
233,37
234,48
235,28
236,15
237,4
238,13
239,22
240,5
241,39
242,12
243,15
244,70
245,9
246,16
247,5
248,30
249,30
250,20
251,52
252,42
253,29
254,16
255,57
256,75
257,66
258,73
259,61
260,39
261,42
262,64
263,43
264,62
265,60
266,71
267,78
268,49
269,92
270,85
271,73
272,76
273,95
274,75
275,79
276,38
277,81
278,87
279,83
280,78
281,96
282,95
283,76
284,89
285,85
286,80
287,97
288,96
289,86
290,84
291,84
292,91
293,78
294,93
295,86
296,9
297,6
298,7
299,28
300,30
301,8
302,10
303,14
304,70
305,27
306,24
307,24
308,30
309,69
310,47
311,34
312,90
313,90
314,84
315,92
316,84
317,92
318,82
319,95
320,98
321,95
322,95
323,98
324,99
325,93
326,91
327,84
328,100
329,98
330,100
331,93
332,98
333,96
334,97
335,95
336,75
337,98
338,99
339,97
340,99
341,94
342,97
343,90
344,92
345,72
346,100
347,59
348,77
349,83
350,87
351,87
352,93
353,85
354,92
355,79
356,87
357,92
358,94
359,63
360,93
361,73
362,74
363,91
364,92
365,94
366,99
367,89
368,95
369,91
370,98
371,89
372,92
373,93
374,62
375,88
376,86
377,86
378,94
379,23
380,27
381,15
382,20
383,27
384,92
385,99
386,99
387,84
388,97
389,95
390,100
391,99
392,100
393,99
394,100
395,99
396,99
397,95
398,98
399,97
400,98
401,99
402,99
403,98
404,98
405,96
406,100
407,98
408,44
409,45
410,44
411,40
412,35
413,65
414,54
415,48
416,55
417,30
418,96
419,68
420,72
421,73
422,86
423,64
424,73
425,81
426,51
427,74
428,99
429,99
430,99
431,99
432,99
433,96
434,74
435,72
436,75
437,67
438,74
439,77
440,62
441,74
442,54
443,42
444,68
445,46
446,27
447,36
448,28
449,34
450,32
451,48
452,34
453,27
454,33
455,30
456,23
457,88
458,98
459,97
460,69
461,97
462,6
463,14
464,20
465,18
466,13
467,7
468,7
469,19
470,10
471,5
472,17
473,20
474,63
475,52
476,52
477,65
478,72
479,74
480,61
481,77
482,69
483,92
484,93
485,54
486,100
487,76
488,46
489,43
490,91
491,93
492,70
493,100
494,99
495,92
496,96
497,97
498,97
499,88
500,93
501,98
502,99
503,97
504,87
505,97
506,93
507,94
508,99
509,89
510,91
511,83
512,81
513,86
514,100
515,100
516,99
517,91
518,94
519,98
520,90
521,95
522,92
523,98
524,62
525,76
526,87
527,82
528,89
529,91
530,90
531,100
532,99
