OBJECTID,subcounty
0,Namwendwa
1,Kamuli Town Council
2,Mbulamuti
3,Bugulumbya
4,Namasagali
5,Nabwigulu
6,Kisozi
7,Balawoli
8,Wankole
9,Butansi
10,Kitayunjwa
11,Bulopa
12,Nawanyago
13,Dranya
14,Ludara
15,Abuku
16,Koboko Town Council
17,Kuluba
18,Lobule
19,Ayer
20,Akalo
21,Okwerodot
22,Alito
23,Kole Town Council
24,Aboke
25,Bukakata
26,Buwunga
27,Kabonera
28,Mukungwe
29,Budongo
30,Pakanyi
31,Central Division
32,Kigulya Division
33,Nyangahya Division
34,Bwijanga
35,Kimengo
36,Miirya
37,Karujubu Division
38,Baitambogwe
39,Bukabooli
40,Bukatube
41,Busakira
42,Imanyiro
43,Jaguzi
44,Kigandalo
45,Kityerera
46,Malongo
47,Mayuge Town Council
48,Mpungwe
49,Wairasa
50,Nawaikoke
51,Kaliro Town Council
52,Gadumire
53,Namwiwa
54,Namugongo
55,Bumanya
56,Kalungu
57,Kalungu Town Council
58,Kyamulibwa
59,Lukaya Town Council
60,Lwabenge
61,Bukulula
62,Kawempe Division
63,Nakawa Division
64,Makindye Division
65,Central Division
66,Lubaga Division
67,Busiriba
68,Bwizi
69,Kabambiro
70,Kahunge
71,Kamwenge
72,Kamwenge Town Council
73,Buhanda
74,Kanara
75,Kicheche
76,Mahyoro
77,Ntara
78,Nyabbani
79,Biguli
80,Kihiihi
81,Nyanga
82,Kihiihi Town  Council
83,Nyakinoni
84,Nyamirama
85,Katete
86,Kambuga Town Council
87,Kambuga
88,Kanyantorogo
89,Kirima
90,Butogota Town Council
91,Kayonza
92,Mpungu
93,Kinaaba
94,Kanungu Town Council
95,Rugyeyo
96,Rutenga
97,Amukol
98,Chema
99,Chepteret
100,Gamogo
101,Kabeywa
102,Kapsinda
103,Kaptanya
104,Kaserem
105,Kawowo
106,Munarya
107,Sipi
108,Tegeres
109,Bwera
110,Hima Town Council
111,Ihandiro
112,Isango
113,Kisinga
114,Kitholhu
115,Kyondo
116,Nyakatonnzi
117,Nyakiyumbu
118,Bwesumbu
119,Karusandara
120,Katwe-Kabatoro Town Council
121,Kilembe
122,Kitswamba
123,Kyabarungira
124,Lake Katwe
125,Mahango
126,Muhokya
127,Rukoki
128,Nyamwamba Division
129,Kyarumba
130,Bulembia Division
131,Katakwi Town Council
132,Ngariam
133,Ongongoja
134,Usuk
135,Magoro
136,Katakwi
137,Omodoi
138,Bbaale
139,Galiraaya
140,Kitimbwa
141,Kangulumira
142,Kayunga
143,Kayunga Town Council
144,Nazigo
145,Nkooko
146,Kagadi
147,Kakindo
148,Rugashari
149,Ndaiga
150,Kyakabadiima
151,Kabamba
152,Mpasaana
153,Kakumiro Town Council
154,Birembo
155,Kiryanga
156,Nalweyo
157,Kasambya
158,Bwikara
159,Kyaterekera
160,Mpeefu
161,Kibaale Town Council
162,Mabaale
163,Kyenzige
164,Paacwa
165,Burora
166,Ruteete
167,Kyanaisoke
168,Kagadi Town Council
169,Muhorro
170,Muhorro Town Council
171,Nyamarwa
172,Kyebando
173,Kasiita
174,Bwamiramira
175,Bubango
176,Mugarama
177,Matale
178,Nyamarunda
179,Bukomero
180,Bukomero Town Council
181,Ddwaniro
182,Kapeke
183,Kibiga
184,Kiboga Town Council
185,Lwamata
186,Muwanga
187,Bulangira
188,Buseta
189,Kabweri
190,Kadama
191,Kagumu
192,Kasasira
193,Kibuku
194,Kibuku Town Council
195,Kirika
196,Tirinyi
197,Nkungu
198,Burunga
199,Engari
200,Kanoni
201,Kazo Town Council
202,Rwemikoma
203,Kanyaryeru
204,Kashongi
205,Kenshunga
206,Kinoni
207,Kiruhura Town Council
208,Nyakashashara
209,Sanga
210,Sanga Town Council
211,Kikaatsi
212,Kitura
213,Kazo
214,Kigumba Town Council
215,Kiryandongo Refugee Settlement
216,Kiryandongo Town Council
217,Masindi Port
218,Bweyale Town Council
219,Kisoro Town Council
220,Nyabwishenya
221,Busanza
222,Kirundo
223,Nyarubuye
224,Nyundo
225,Bukimbiri
226,Kanaba
227,Nyakabande
228,Nyakinama
229,Chahi
230,Muramba
231,Nyarusiza
232,Murora
233,Kitgum Matidi
234,Labongo Akwang
235,Labongo Amida
236,Labongo Layamo
237,Lagoro
238,Namokora
239,Omiya Anyima
240,Orom
241,Kitgum Town Council
242,Kacheri
243,Kotido
244,Kotido Town Council
245,Nakaperimoru
246,Panyangara
247,Rengen
248,Atutur
249,Kanyum
250,Kumi
251,Kumi Town Council
252,Mukongoro
253,Nyero
254,Ongino
255,Binyiny
256,Binyiny Town Council
257,Kaproron
258,Kaptoyoy
259,Kaptum
260,Kiriki
261,Kwanyiy
262,Moyok
263,Ngenge
264,Bananywa
265,Butemba
266,Butemba  Town  Council
267,Gayaza
268,Kyankwanzi
269,Mulagi
270,Nkandwa
271,Nsambya
272,Ntwetwe
273,Ntwetwe  Town  Council
274,Wattuba
275,Hapuuyo
276,Kyaka  Ii  Refugee Camp
277,Kakabara
278,Kyegegwa Town Council
279,Kasule
280,Bufunjo
281,Bugaaki
282,Butiiti
