OBJECTID,radio
0,59
1,65
2,61
3,63
4,59
5,60
6,62
7,62
8,63
9,63
10,62
11,69
12,64
13,56
14,51
15,53
16,64
17,49
18,40
19,59
20,63
21,54
22,57
23,61
24,60
25,61
26,76
27,73
28,76
29,49
30,52
31,54
32,72
33,70
34,60
35,53
36,47
37,50
38,66
39,60
40,59
41,63
42,69
43,55
44,58
45,59
46,59
47,67
48,64
49,59
50,57
51,74
52,55
53,58
54,62
55,64
56,78
57,79
58,77
59,69
60,73
61,76
62,61
63,60
64,62
65,51
66,63
67,62
68,61
69,67
70,66
71,66
72,69
73,68
74,64
75,72
76,60
77,63
78,69
79,61
80,67
81,68
82,70
83,73
84,68
85,74
86,75
87,71
88,75
89,74
90,65
91,68
92,66
93,68
94,76
95,70
96,65
97,53
98,53
99,42
100,45
101,54
102,46
103,54
104,44
105,48
106,56
107,52
108,0
109,71
110,65
111,63
112,71
113,69
114,56
115,70
116,70
117,65
118,52
119,66
120,64
121,65
122,66
123,61
124,61
125,66
126,63
127,63
128,61
129,63
130,61
131,61
132,36
133,38
134,44
135,44
136,49
137,52
138,63
139,58
140,63
141,64
142,69
143,72
144,64
145,66
146,71
147,59
148,64
149,35
150,68
151,62
152,64
153,75
154,67
155,65
156,65
157,65
158,68
159,57
160,63
161,79
162,74
163,71
164,63
165,68
166,65
167,77
168,76
169,66
170,71
171,65
172,72
173,68
174,73
175,59
176,70
177,75
178,70
179,70
180,76
181,69
182,65
183,62
184,66
185,63
186,68
187,53
188,54
189,47
190,48
191,51
192,39
193,42
194,53
195,49
196,54
197,66
198,68
199,66
200,70
201,71
202,71
203,58
204,68
205,71
206,73
207,77
208,69
209,70
210,59
211,73
212,63
213,69
214,65
215,24
216,67
217,57
218,49
219,65
220,56
221,68
222,62
223,67
224,67
225,70
226,73
227,66
228,62
229,61
230,57
231,64
232,62
233,47
234,50
235,40
236,31
237,36
238,37
239,31
240,24
241,45
242,5
243,9
244,30
245,8
246,4
247,6
248,54
249,52
250,53
251,58
252,47
253,56
254,52
255,44
256,59
257,47
258,58
259,56
260,38
261,31
262,29
263,45
264,56
265,63
266,63
267,65
268,63
269,69
270,67
271,57
272,59
273,65
274,70
275,59
276,33
277,60
278,64
279,60
280,54
281,65
282,71
283,57
284,63
285,57
286,58
287,66
288,68
289,71
290,47
291,50
292,69
293,57
294,63
295,56
296,30
297,29
298,33
299,32
300,44
301,34
302,33
303,39
304,67
305,60
306,51
307,55
308,55
309,64
310,56
311,52
312,66
313,63
314,61
315,64
316,62
317,67
318,58
319,64
320,68
321,62
322,64
323,64
324,74
325,72
326,69
327,69
328,74
329,74
330,73
331,70
332,71
333,69
334,62
335,69
336,68
337,73
338,77
339,70
340,70
341,67
342,70
343,69
344,65
345,72
