OBJECTID,rooftemporary.csv
0,5
1,2
2,12
3,2
4,25
5,9
6,2
7,32
8,5
9,7
10,3
11,4
12,4
13,89
14,91
15,91
16,61
17,89
18,88
19,73
20,64
21,76
22,72
23,69
24,66
25,9
26,3
27,0
28,1
29,47
30,63
31,1
32,27
33,12
34,25
35,46
36,54
37,26
38,4
39,33
40,27
41,15
42,9
43,41
44,22
45,15
46,31
47,2
48,13
49,8
50,44
51,5
52,48
53,39
54,20
55,32
56,2
57,1
58,3
59,1
60,11
61,3
62,0
63,1
64,1
65,0
66,0
67,13
68,21
69,18
70,18
71,16
72,6
73,8
74,21
75,5
76,11
77,12
78,9
79,18
80,23
81,10
82,5
83,13
84,15
85,4
86,0
87,2
88,7
89,3
90,4
91,5
92,6
93,3
94,2
95,5
96,2
97,18
98,18
99,16
100,18
101,21
102,7
103,41
104,24
105,34
106,17
107,11
108,0
109,4
110,4
111,4
112,15
113,7
114,3
115,6
116,42
117,10
118,9
119,19
120,1
121,6
122,13
123,5
124,13
125,4
126,8
127,6
128,1
129,4
130,2
131,50
132,93
133,91
134,90
135,92
136,86
137,91
138,33
139,50
140,18
141,2
142,6
143,1
144,4
145,28
146,16
147,19
148,15
149,22
150,10
151,17
152,31
153,5
154,8
155,17
156,25
157,17
158,14
159,28
160,23
161,2
162,12
163,8
164,14
165,24
166,19
167,8
168,4
169,12
170,5
171,24
172,10
173,20
174,11
175,19
176,18
177,9
178,12
179,13
180,2
181,41
182,22
183,10
184,1
185,17
186,10
187,26
188,32
189,22
190,28
191,34
192,56
193,33
194,23
195,29
196,39
197,16
198,26
199,13
200,5
201,8
202,17
203,27
204,8
205,20
206,26
207,16
208,27
209,17
210,15
211,39
212,5
213,14
214,20
215,68
216,24
217,57
218,46
219,0
220,5
221,1
222,1
223,0
224,1
225,1
226,2
227,1
228,0
229,1
230,1
231,0
232,2
233,63
234,52
235,72
236,85
237,96
238,87
239,78
240,95
241,61
242,88
243,85
244,30
245,91
246,84
247,95
248,70
249,70
250,80
251,48
252,58
253,71
254,84
255,43
256,25
257,34
258,27
259,39
260,61
261,58
262,36
263,57
264,38
265,40
266,29
267,22
268,51
269,8
270,15
271,27
272,24
273,5
274,25
275,21
276,62
277,19
278,13
279,17
280,22
281,4
282,5
283,24
284,11
285,15
286,20
287,3
288,4
289,14
290,16
291,16
292,9
293,22
294,7
295,14
296,91
297,94
298,93
299,72
300,70
301,92
302,90
303,86
304,30
305,73
306,76
307,76
308,70
309,31
310,53
311,66
312,10
313,10
314,16
315,8
316,16
317,8
318,18
319,5
320,2
321,5
322,5
323,2
324,1
325,7
326,9
327,16
328,0
329,2
330,0
331,7
332,2
333,4
334,3
335,5
336,25
337,2
338,1
339,3
340,1
341,6
342,3
343,10
344,8
345,28
346,0
347,41
348,23
349,17
350,13
351,13
352,7
353,15
354,8
355,21
356,13
357,8
358,6
359,37
360,7
361,27
362,26
363,9
364,8
365,6
366,1
367,11
368,5
369,9
370,2
371,11
372,8
373,7
374,38
375,13
376,14
377,14
378,6
379,77
380,73
381,85
382,80
383,73
384,8
385,1
386,1
387,16
388,3
389,5
390,0
391,1
392,0
393,1
394,0
395,1
396,1
397,5
398,2
399,3
400,2
401,1
402,1
403,2
404,2
405,4
406,0
407,2
408,56
409,55
410,56
411,60
412,65
413,35
414,46
415,52
416,45
417,70
418,4
419,32
420,28
421,27
422,14
423,36
424,27
425,19
426,49
427,26
428,1
429,1
430,1
431,1
432,1
433,4
434,26
435,28
436,25
437,33
438,26
439,23
440,38
441,26
442,46
443,58
444,32
445,54
446,73
447,64
448,72
449,66
450,68
451,52
452,66
453,73
454,67
455,70
456,77
457,12
458,2
459,3
460,31
461,3
462,94
463,86
464,80
465,82
466,87
467,93
468,93
469,81
470,90
471,95
472,83
473,80
474,37
475,48
476,48
477,35
478,28
479,26
480,39
481,23
482,31
483,8
484,7
485,46
486,0
487,24
488,54
489,57
490,9
491,7
492,30
493,0
494,1
495,8
496,4
497,3
498,3
499,12
500,7
501,2
502,1
503,3
504,13
505,3
506,7
507,6
508,1
509,11
510,9
